ozdes_id,RA,DEC
SVA1_COADD-2925475944,42.543,0.3217
SVA1_COADD-2970344867,7.177,-42.2342
SVA1_COADD-2970344805,7.172,-42.2348
SVA1_COADD-2971051041,7.51,-42.8537
SVA1_COADD-2940268281,54.4925,-29.068
SVA1_COADD-2937797982,34.2897,-5.4457
SVA1_COADD-2970600422,10.2959,-44.1449
SVA1_COADD-2970926723,7.8701,-43.6891
SVA1_COADD-2939803872,55.0525,-28.5217
SVA1_COADD-2970679911,8.7394,-44.1461
SVA1_COADD-2925503302,42.2375,-0.625
SVA1_COADD-2925473721,42.7403,0.2853
SVA1_COADD-2939432361,51.73,-27.7605
SVA1_COADD-2940878061,52.4966,-28.0295
SVA1_COADD-2940271328,54.3928,-29.0373
SVA1_COADD-2970720240,9.8773,-43.756
SVA1_COADD-2938934104,35.8884,-5.0408
SVA1_COADD-2940294492,36.4217,-6.6818
SVA1_COADD-2940268317,54.3025,-29.068
SVA1_COADD-2939594372,53.888,-27.2373
SVA1_COADD-2925443210,43.1009,-0.2096
SVA1_COADD-2938640106,34.4979,-4.9973
SVA1_COADD-2938896833,36.2238,-5.3243
SVA1_COADD-2939763354,54.9931,-28.7142
SVA1_COADD-2938664032,34.6083,-4.6913
SVA1_COADD-2939615875,53.8003,-27.008
SVA1_COADD-2939817908,54.4245,-28.4564
SVA1_COADD-2938291099,35.63,-4.6556
SVA1_COADD-2940418628,52.9604,-27.3947
SVA1_COADD-2940268057,54.274,-29.0704
SVA1_COADD-2970834632,9.4134,-44.1503
SVA1_COADD-2938948749,36.0996,-4.9395
SVA1_COADD-2970765780,9.9824,-43.4941
SVA1_COADD-2938345569,34.5349,-5.4677
SVA1_COADD-2939090222,36.6378,-3.9284
SVA1_COADD-2939797314,54.7234,-28.5541
SVA1_COADD-2970344856,7.1766,-42.2344
SVA1_COADD-2940795347,54.6033,-26.443
SVA1_COADD-2940893092,52.3786,-27.9187
SVA1_COADD-2925355078,40.2761,-1.0933
SVA1_COADD-2940259913,54.0656,-29.1607
SVA1_COADD-2939688164,54.7221,-29.124
SVA1_COADD-2939523422,54.5625,-27.3162
SVA1_COADD-2971077769,7.8598,-42.6372
SVA1_COADD-2940231430,54.1398,-29.4466
SVA1_COADD-2970847508,9.7496,-43.2051
SVA1_COADD-2970856886,9.6756,-44.0436
SVA1_COADD-2971153873,8.6965,-43.4128
SVA1_COADD-2938541585,36.5742,-3.8651
SVA1_COADD-2939380992,53.9382,-29.8375
SVA1_COADD-2970997147,7.8355,-43.1127
SVA1_COADD-2925386870,42.1135,0.1793
SVA1_COADD-2925786829,42.6262,-0.792
SVA1_COADD-2940244768,54.218,-29.314
