ozdes_id,RA,DEC
DES13E1yh,9.19,-42.85
DES13S1bee,43.14,-0.18
DES13X1czr,34.54,-5.21
DES13X1dat,33.65,-4.86
DES13X1djt,34.16,-5.56
DES13X2ebl,36.3,-6.76
DES13X3aew,36.24,-5.41
DES13X3dbe,36.02,-5.02
DES13X3eez,36.25,-5.58
DES13X3oq,36.6,-5.02
DES14C2apt,55.18,-29.02
DES14C2tr,53.96,-28.17
DES14C2ty,54.84,-29.05
DES14C3ox,52.08,-28.13
DES14E2ind,10.32,-44.78
DES15C1hb,54.9,-26.37
DES15C2sm,54.9,-28.87
DES15X2fu,35.6,-6.63
DES16E2ck,9.82,-43.11
DES17C2ot,53.48,-29.51
DES17E1ag,6.79,-42.52
DES17S1aeu,42.7,-0.39
DES17X3ai,36.32,-5.36
OzDES-DR2_03527,97.5,-59.39
OzDES-DR2_03582,41.12,-0.65
OzDES-DR2_03619,42.19,0.81
OzDES-DR2_03620,42.2,-0.1
OzDES-DR2_03700,42.96,-0.44
OzDES-DR2_03726,43.21,0.95
OzDES-DR2_03755,43.65,0.51
OzDES-DR2_03779,40.35,-1.21
SVA1_COADD-2925370131,42.19,-0.12
SVA1_COADD-2925382195,41.9,0.09
SVA1_COADD-2925397697,43.23,-0.32
SVA1_COADD-2925400999,43.3,-0.25
SVA1_COADD-2925409198,43.43,-0.08
SVA1_COADD-2937826961,36.82,-5.36
SVA1_COADD-2937848060,35.23,-7.3
SVA1_COADD-2937894942,37.15,-4.57
SVA1_COADD-2938244435,35.27,-5.09
SVA1_COADD-2938298853,34.81,-6.04
SVA1_COADD-2938304728,35.16,-5.97
SVA1_COADD-2938314288,34.64,-5.84
SVA1_COADD-2938331131,34.59,-5.64
SVA1_COADD-2938355571,34.48,-5.34
SVA1_COADD-2938404215,36.14,-4.51
SVA1_COADD-2925429103,43.47,0.28
SVA1_COADD-2925430740,43.55,0.31
SVA1_COADD-2925463125,42.9,0.12
SVA1_COADD-2925494278,41.73,-0.79
SVA1_COADD-2925509048,42.14,-0.53
SVA1_COADD-2925509162,41.75,-0.53
SVA1_COADD-2925545079,41.01,-0.25
SVA1_COADD-2925548132,41.31,-0.2
SVA1_COADD-2925564508,42.27,0.44
SVA1_COADD-2925571914,42.34,0.69
SVA1_COADD-2925594344,41.46,-0.76
SVA1_COADD-2925608430,41.2,-0.54
SVA1_COADD-2925620716,41.94,-1.58
SVA1_COADD-2925640263,43.18,-0.89
SVA1_COADD-2925696359,40.42,-1.07
SVA1_COADD-2925704102,41.6,-1.7
SVA1_COADD-2925714388,41.21,-1.54
SVA1_COADD-2925716687,41.68,-1.5
SVA1_COADD-2925716978,41.38,-1.5
